2026-05-27 08:02:05,744 [ACCESS] 127.0.0.1 | - | - | GET | 302 | main.index | / | 0ms | -
2026-05-27 08:02:05,758 [ACCESS] 127.0.0.1 | - | - | GET | 200 | auth.login | /login | 0ms | -
2026-05-27 08:02:12,923 [ACCESS] 127.0.0.1 | admin | - | POST | 302 | auth.login | /login | 791ms | http://127.0.0.1:8080/login
2026-05-27 08:02:12,942 [ACCESS] 127.0.0.1 | admin | - | GET | 200 | main.select_workplace | /select-workplace | 14ms | http://127.0.0.1:8080/login
2026-05-27 08:02:13,884 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 302 | main.set_workplace | /select-workplace/2동 신관 2층 | 0ms | http://127.0.0.1:8080/select-workplace
2026-05-27 08:02:13,921 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 33ms | http://127.0.0.1:8080/select-workplace
2026-05-27 08:02:15,322 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | materials.raw_materials | /raw-materials | 30ms | http://127.0.0.1:8080/
2026-05-27 08:02:18,376 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 28ms | http://127.0.0.1:8080/raw-materials
2026-05-27 08:02:19,573 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 32ms | http://127.0.0.1:8080/
2026-05-27 08:02:21,119 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=audit_logs&hidden_audit=1 | 34ms | http://127.0.0.1:8080/schedules
2026-05-27 08:02:27,358 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27 | 28ms | http://127.0.0.1:8080/integrated-management?tab=audit_logs&hidden_audit=1
2026-05-27 08:02:36,250 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_username=&login_event_type=&audit_date_from=2026-05-26&audit_date_to=2026-05-27 | 27ms | http://127.0.0.1:8080/integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-27&audit_date_to=2026-05-27
2026-05-27 08:02:40,881 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-26&audit_date_to=2026-05-27 | 38ms | http://127.0.0.1:8080/integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_username=&login_event_type=&audit_date_from=2026-05-26&audit_date_to=2026-05-27
2026-05-27 08:02:44,708 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-26&audit_date_to=2026-05-27 | 32ms | http://127.0.0.1:8080/integrated-management?tab=audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-26&audit_date_to=2026-05-27
2026-05-27 08:02:50,954 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | admin.integrated_management | /integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_username=&login_event_type=&audit_date_from=2026-05-25&audit_date_to=2026-05-27 | 29ms | http://127.0.0.1:8080/integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_date_from=2026-05-26&audit_date_to=2026-05-27
2026-05-27 08:02:54,418 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 29ms | http://127.0.0.1:8080/integrated-management?tab=login_audit_logs&hidden_audit=1&wp=all&audit_username=&login_event_type=&audit_date_from=2026-05-25&audit_date_to=2026-05-27
2026-05-27 08:02:56,167 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 27ms | http://127.0.0.1:8080/
2026-05-27 08:03:07,305 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | users.user_management | /users | 28ms | http://127.0.0.1:8080/schedules
2026-05-27 08:03:09,724 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | main.index | / | 31ms | http://127.0.0.1:8080/users
2026-05-27 08:03:14,984 [ACCESS] 127.0.0.1 | admin | 2동 신관 2층 | GET | 200 | production.schedules | /schedules | 35ms | http://127.0.0.1:8080/
2026-05-27 08:12:50,269 [ACCESS] 127.0.0.1 | - | - | GET | 404 | - | /sitemap.xml | 0ms | -
2026-05-27 08:22:45,566 [ACCESS] 127.0.0.1 | - | - | GET | 200 | auth.register | /register | 20ms | -
